refs,qty,value,footprint,manufacturer,mpn,description,usd_each,usd_total,status
J12,1,bay slot 3,PCIe_x1_Socket_THT,Amphenol FCI,10018783-10100TLF,"PCI Express x1 vertical through-hole socket, 36 contacts (custom bay pinout, no PCIe signalling)",1.0,1.0,verify
J13,1,bay slot 4,PCIe_x1_Socket_THT,Amphenol FCI,10018783-10100TLF,"PCI Express x1 vertical through-hole socket, 36 contacts (custom bay pinout, no PCIe signalling)",1.0,1.0,verify
J14,1,bay slot 5,PCIe_x1_Socket_THT,Amphenol FCI,10018783-10100TLF,"PCI Express x1 vertical through-hole socket, 36 contacts (custom bay pinout, no PCIe signalling)",1.0,1.0,verify
J15,1,bay slot 6,PCIe_x1_Socket_THT,Amphenol FCI,10018783-10100TLF,"PCI Express x1 vertical through-hole socket, 36 contacts (custom bay pinout, no PCIe signalling)",1.0,1.0,verify
J16,1,bay slot 7,PCIe_x1_Socket_THT,Amphenol FCI,10018783-10100TLF,"PCI Express x1 vertical through-hole socket, 36 contacts (custom bay pinout, no PCIe signalling)",1.0,1.0,verify
J17,1,bay slot 8,PCIe_x1_Socket_THT,Amphenol FCI,10018783-10100TLF,"PCI Express x1 vertical through-hole socket, 36 contacts (custom bay pinout, no PCIe signalling)",1.0,1.0,verify
J21,1,KPJX-4S-S,Kycon_KPJX-4S-S,Kycon,KPJX-4S-S,"4-pin mini-DIN power jack, shielded, 7.5 A per pin",1.5,1.5,
J40,1,Fan GND/5V/TACH/PWM,FanPinHeader_1x04_P2.54mm_Vertical,generic,,"2.54 mm pin header, vertical, count as listed",0.1,0.1,
J41,1,OLED GND/VCC/SCL/SDA,PinHeader_1x04_P2.54mm_Vertical,generic,,"2.54 mm pin header, vertical, count as listed",0.1,0.1,
J50,1,M.2 M-key,M2_Socket3_MKey_CM5IO,TE Connectivity,2199230-4,"M.2 M-key socket, 4.2 mm, for a 2280 module",1.2,1.2,
"L20,L21",2,2.2u 8A,L_Taiyo-Yuden_NR-60xx,generic,,"2.2 uH, 8 A saturation, shielded, 6 x 6 mm (TPS56637 reference design class)",0.6,1.2,verify
"L22,L51",2,4.7u 3A,L_Taiyo-Yuden_NR-40xx,generic,,"4.7 uH, 3 A, shielded, 4 x 4 mm (AP63203 class)",0.35,0.7,verify
M1,1,CM5002016,Raspberry-Pi-5-Compute-Module,Raspberry Pi,CM5102016,"Compute Module 5, wireless, 2 GB RAM, 16 GB eMMC (the schematic value field still reads CM5002016)",97.0,97.0,verify
Q20,1,AO4407A,SOIC-8_3.9x4.9mm_P1.27mm,Alpha & Omega,AO4407A,"P-MOSFET -30 V, SO-8: S 1-3, G 4, D 5-8 (reverse-polarity protection)",0.8,0.8,
"R1,R2,R3",3,1k,R_0603_1608Metric,generic,,"resistor 1 %, thick film (value as listed)",0.005,0.015,
"R10,R11,R101,R102,R201,R202,R500,R501,R504,R2001,R2003,R2101,R2103",13,10k,R_0402_1005Metric,generic,,"resistor 1 %, thick film (value as listed)",0.005,0.065,
R20,1,100k,R_0603_1608Metric,generic,,"resistor 1 %, thick film (value as listed)",0.005,0.005,
"R60,R61,R62,R63,R64,R65,R66,R67,R505",9,470,R_0402_1005Metric,generic,,"resistor 1 %, thick film (value as listed)",0.005,0.045,
"R100,R200",2,12.0k 1%,R_0402_1005Metric,generic,,"resistor 1 %, thick film (value as listed)",0.005,0.01,
"R103,R203",2,200k,R_0402_1005Metric,generic,,"resistor 1 %, thick film (value as listed)",0.005,0.01,
"R502,R503",2,0R (cap DNP alt),C_0402_1005Metric,generic,,"0 ohm 0402 (option link, cap DNP alternative)",0.005,0.01,
"R2000,R2100",2,73.2k,R_0402_1005Metric,generic,,"resistor 1 %, thick film (value as listed)",0.005,0.01,
"R2002,R2102",2,100k,R_0402_1005Metric,generic,,"resistor 1 %, thick film (value as listed)",0.005,0.01,
SW1,1,DIP x8,SW_DIP_SPSTx08_Piano_10.8x21.88mm_W7.62mm_P2.54mm,generic,,"8-position piano DIP switch, 2.54 mm pitch, 7.62 mm row",1.0,1.0,verify
SW3,1,lid microswitch,SW_PUSH_6mm,generic,,6 mm tactile switch used as the lid switch,0.2,0.2,
"U1,U2",2,USB5744/2G,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,Microchip,USB5744/2G,"USB 3.2 Gen 1 four-port hub, VQFN-56 7 x 7",2.44,4.88,
U3,1,AP2112K-1.2,SOT-23-5,Diodes Inc.,AP2112K-1.2TRG1,"600 mA LDO, 1.2 V, SOT-25 (hub core)",0.3,0.3,
"U20,U21",2,TPS56637RPAR,Texas_RPA0010A_VQFN-HR-10_3x3mm,Texas Instruments,TPS56637RPAR,"6 A step-down converter, VQFN-HR 3 x 3",1.9,3.8,
"U22,U51",2,AP63203WU-7,TSOT-23-6,Diodes Inc.,AP63203WU-7,"2 A step-down converter, TSOT-26, 3.3 V",0.5,1.0,
"U50,U52",2,TPS22965DSGR,Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,Texas Instruments,TPS22965DSGR,"load switch, 4 A, WSON-8 2 x 2",0.5,1.0,
"Y1,Y2",2,25MHz CL=20pF,Crystal_SMD_3225-4Pin_3.2x2.5mm,generic,,"25 MHz crystal, 3.2 x 2.5 mm, CL 20 pF (hub clock)",0.3,0.6,
